[Timestamp: 2] CPU time: 0 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 0.0000 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 5] CPU time: 2531000 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 41.7615 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 7] CPU time: 767032 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 5200 ms, Rx time: 0 ms, Energy (TX): 0.5148 J, Energy (RX): 0.0000 J, Energy (CPU): 83.5230 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 10] CPU time: 3298032 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 10400 ms, Rx time: 3451800 ms, Energy (TX): 1.0296 J, Energy (RX): 170.8641 J, Energy (CPU): 125.2845 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 12] CPU time: 1534065 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 20800 ms, Rx time: 1884432 ms, Energy (TX): 2.0592 J, Energy (RX): 305.8803 J, Energy (CPU): 167.0460 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 15] CPU time: 4065065 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 20800 ms, Rx time: 2852232 ms, Energy (TX): 2.0592 J, Energy (RX): 353.7864 J, Energy (CPU): 208.8075 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 17] CPU time: 2301098 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 26552 ms, Rx time: 1388921 ms, Energy (TX): 2.6286 J, Energy (RX): 493.9534 J, Energy (CPU): 250.5690 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 20] CPU time: 537130 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 31592 ms, Rx time: 4008513 ms, Energy (TX): 3.1276 J, Energy (RX): 623.6232 J, Energy (CPU): 292.3305 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 22] CPU time: 3068130 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 38256 ms, Rx time: 3952314 ms, Energy (TX): 3.7873 J, Energy (RX): 833.4422 J, Energy (CPU): 334.0920 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 25] CPU time: 1304163 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 44392 ms, Rx time: 2395778 ms, Energy (TX): 4.3948 J, Energy (RX): 968.9946 J, Energy (CPU): 375.8535 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 27] CPU time: 3835163 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 45488 ms, Rx time: 3640938 ms, Energy (TX): 4.5033 J, Energy (RX): 1030.6300 J, Energy (CPU): 417.6150 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 30] CPU time: 2071196 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 60952 ms, Rx time: 3075067 ms, Energy (TX): 6.0342 J, Energy (RX): 1215.2202 J, Energy (CPU): 459.3765 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 32] CPU time: 307228 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 70728 ms, Rx time: 3580355 ms, Energy (TX): 7.0021 J, Energy (RX): 1240.2319 J, Energy (CPU): 501.1380 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 35] CPU time: 2838228 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 70728 ms, Rx time: 1575468 ms, Energy (TX): 7.0021 J, Energy (RX): 1353.5909 J, Energy (CPU): 542.8995 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 37] CPU time: 1074261 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 75200 ms, Rx time: 1576500 ms, Energy (TX): 7.4448 J, Energy (RX): 1566.2429 J, Energy (CPU): 584.6610 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 40] CPU time: 3605261 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 80240 ms, Rx time: 4017028 ms, Energy (TX): 7.9438 J, Energy (RX): 1687.0491 J, Energy (CPU): 626.4225 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 43] CPU time: 1841294 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 90016 ms, Rx time: 604165 ms, Energy (TX): 8.9116 J, Energy (RX): 1730.7131 J, Energy (CPU): 668.1840 J
